id	source_verse	text	skip_space_after	exclude	id_range_end	source_verse_range_end	required
40001001001	40001001	This					y
40001001002	40001001	is					y
40001001003	40001001	a					y
40001001004	40001001	record					y
40001001005	40001001	of					y
40001001006	40001001	the					y
40001001007	40001001	ancestors					y
40001001008	40001001	of					y
40001001009	40001001	Jesus					y
40001001010	40001001	the					y
40001001011	40001001	Messiah	y				y
40001001012	40001001	.		y			n
40001001013	40001001	He					y
40001001014	40001001	is					y
40001001015	40001001	a					y
40001001016	40001001	descendant					y
40001001017	40001001	of					y
40001001018	40001001	{	y	y			n
40001001019	40001001	King	y				y
40001001020	40001001	}		y			n
40001001021	40001001	David	y				y
40001001022	40001001	,		y			n
40001001023	40001001	who					y
40001001024	40001001	was					y
40001001025	40001001	a					y
40001001026	40001001	descendant					y
40001001027	40001001	of					y
40001001028	40001001	Abraham	y				y
40001001029	40001001	{	y	y			n
40001001030	40001001	,		y			n
40001001031	40001001	the					y
40001001032	40001001	ancestor					y
40001001033	40001001	of					y
40001001034	40001001	all					y
40001001035	40001001	Jewish					y
40001001036	40001001	people	y				y
40001001037	40001001	}	y	y			n
40001001038	40001001	.		y			n
40001002001	40001002	Abraham					y
40001002002	40001002	was					y
40001002003	40001002	the					y
40001002004	40001002	father					y
40001002005	40001002	of					y
40001002006	40001002	Isaac	y				y
40001002007	40001002	.		y			n
40001002008	40001002	Isaac					y
40001002009	40001002	was					y
40001002010	40001002	the					y
40001002011	40001002	father					y
40001002012	40001002	of					y
40001002013	40001002	Jacob	y				y
40001002014	40001002	.		y			n
40001002015	40001002	Jacob					y
40001002016	40001002	was					y
40001002017	40001002	the					y
40001002018	40001002	father					y
40001002019	40001002	of					y
40001002020	40001002	Judah					y
40001002021	40001002	and					y
40001002022	40001002	Judah’s					y
40001002023	40001002	{	y	y			n
40001002024	40001002	older					y
40001002025	40001002	and					y
40001002026	40001002	younger	y				y
40001002027	40001002	}		y			n
40001002028	40001002	brothers	y				y
40001002029	40001002	.		y			n
40001003001	40001003	Judah					y
40001003002	40001003	was					y
40001003003	40001003	the					y
40001003004	40001003	father					y
40001003005	40001003	of					y
40001003006	40001003	Perez					y
40001003007	40001003	and					y
40001003008	40001003	Zerah	y				y
40001003009	40001003	.		y			n
40001003010	40001003	Their					y
40001003011	40001003	mother					y
40001003012	40001003	was					y
40001003013	40001003	Tamar	y				y
40001003014	40001003	.		y			n
40001003015	40001003	Perez					y
40001003016	40001003	was					y
40001003017	40001003	the					y
40001003018	40001003	father					y
40001003019	40001003	of					y
40001003020	40001003	Hezrom	y				y
40001003021	40001003	.		y			n
40001003022	40001003	Hezrom					y
40001003023	40001003	was					y
40001003024	40001003	the					y
40001003025	40001003	father					y
40001003026	40001003	of					y
40001003027	40001003	Aram	y				y
40001003028	40001003	.		y			n
40001004001	40001004	Aram					y
40001004002	40001004	was					y
40001004003	40001004	the					y
40001004004	40001004	father					y
40001004005	40001004	of					y
40001004006	40001004	Amminadab	y				y
40001004007	40001004	.		y			n
40001004008	40001004	Amminadab					y
40001004009	40001004	was					y
40001004010	40001004	the					y
40001004011	40001004	father					y
40001004012	40001004	of					y
40001004013	40001004	Nahshon	y				y
40001004014	40001004	.		y			n
40001004015	40001004	Nahshon					y
40001004016	40001004	was					y
40001004017	40001004	the					y
40001004018	40001004	father					y
40001004019	40001004	of					y
40001004020	40001004	Salmon	y				y
40001004021	40001004	.		y			n
40001005001	40001005	Salmon					y
40001005002	40001005	was					y
40001005003	40001005	the					y
40001005004	40001005	father					y
40001005005	40001005	of					y
40001005006	40001005	Boaz	y				y
40001005007	40001005	.		y			n
40001005008	40001005	Boaz’s					y
40001005009	40001005	mother					y
40001005010	40001005	was					y
40001005011	40001005	Rahab	y				y
40001005012	40001005	.		y			n
40001005013	40001005	Boaz					y
40001005014	40001005	was					y
40001005015	40001005	the					y
40001005016	40001005	father					y
40001005017	40001005	of					y
40001005018	40001005	Obed	y				y
40001005019	40001005	.		y			n
40001005020	40001005	Obed’s					y
40001005021	40001005	mother					y
40001005022	40001005	was					y
40001005023	40001005	Ruth	y				y
